name,latitude_deg,longitude_deg
Gander International Airport,48.936258,-54.567719
Sydney / J.A. Douglas McCurdy Airport,46.1614,-60.047798
Quesnel Airport,53.026100158691406,-122.51000213623047
Resolute Bay Airport,74.7169036865,-94.9693984985
Rivière-du-Loup Airport,47.764400482177734,-69.58470153808594
Roberval Airport,48.519665,-72.265735
Red Lake Airport,51.066898345947266,-93.79309844970703
Ottawa / Rockcliffe Airport,45.460496,-75.644001
Ottawa / Carp Airport,45.3191986084,-76.0222015381
Trois-Rivières Airport,46.35279846191406,-72.67939758300781
Rankin Inlet Airport,62.8114013672,-92.1157989502
Revelstoke Airport,50.962245,-118.184258
Sudbury Airport,46.625,-80.79889678955078
Sherbrooke Airport,45.438599,-71.691399
Stony Rapids Airport,59.250301361083984,-105.84100341796875
Saint-Georges Airport,46.096401,-70.714699
Smiths Falls-Montague (Russ Beach) Airport,44.945801,-75.940598
Saint John Airport,45.31610107421875,-65.89029693603516
Saint-Léonard Airport,47.157097,-67.836242
Fort Smith Airport,60.020302,-111.961998
Niagara District Airport,43.191598,-79.171686
Marathon Airport,48.75529861450195,-86.34439849853516
Summerside Airport,46.440601,-63.833599
Pembroke Airport,45.86439895629883,-77.25170135498047
Alma Airport,48.5089,-71.641899
Thompson Airport,55.80110168457031,-97.86419677734375
CFB Trenton,44.118900299072266,-77.5280990600586
Timmins/Victor M. Power,48.569698333699996,-81.376701355
Billy Bishop Toronto City Airport,43.627852,-79.39553
Montreal / Pierre Elliott Trudeau International Airport,45.467837,-73.742294
Hall Beach Airport,68.7761,-81.2425
Rouyn Noranda Airport,48.20610046386719,-78.83560180664062
Bonaventure Airport,48.071098,-65.460297
La Ronge Airport,55.151401519800004,-105.262001038
Virden / RJ (Bob) Andrew Field Regional Aerodrome,49.8783,-100.917999
Vernon Regional Airport,50.246163,-119.330963
Val-d'Or Airport,48.0532989502,-77.7827987671
Kuujjuaq Airport,58.096099853515625,-68.4269027709961
Norman Wells Airport,65.28160095214844,-126.7979965209961
Vancouver International Airport,49.193901,-123.183998
Wiarton Airport,44.7458,-81.107201
Winnipeg / James Armstrong Richardson International Airport,49.909999847399995,-97.2398986816
Wabush Airport,52.92190170288086,-66.8644027709961
Williams Lake Airport,52.1831016541,-122.054000854
Wrigley Airport,63.20940017700195,-123.43699645996094
Cranbrook/Canadian Rockies International Airport,49.610802,-115.781998
Saskatoon John G. Diefenbaker International Airport,52.170723,-106.700793
Medicine Hat Regional Airport,50.018902,-110.721001
Fort St John / North Peace Regional Airport,56.238098,-120.739998
Rimouski Airport,48.477644,-68.496323
Sioux Lookout Airport,50.11389923095703,-91.9052963256836
Beaver Creek Airport,62.410301208496094,-140.86700439453125
Earlton (Timiskaming Regional) Airport,47.697400654599996,-79.8473453522
Prince George (International) Airport,53.884311,-122.666554
Northwest Regional Airport Terrace-Kitimat,54.468498,-128.576009
London International Airport,43.032845,-81.149003
Abbotsford International Airport,49.025299,-122.361
Whitehorse / Erik Nielsen International Airport,60.708533,-135.065705
Wawa Airport,47.96670150756836,-84.78669738769531
North Bay Jack Garland Airport,46.363602,-79.422798
Calgary International Airport,51.118822,-114.009933
Smithers Airport,54.82469940185547,-127.18299865722656
Fort Nelson Airport,58.8363990784,-122.597000122
Penticton Airport,49.46310043334961,-119.60199737548828
Charlottetown Airport,46.288911,-63.125174
Victoria International Airport,48.647201,-123.427792
Lynn Lake Airport,56.86389923095703,-101.07599639892578
Swift Current Airport,50.291900634799994,-107.691001892
Churchill Airport,58.739200592041016,-94.06500244140625
Goose Bay Airport,53.3191986084,-60.4258003235
St. John's International Airport,47.618599,-52.7519
Kapuskasing Airport,49.411587,-82.469645
Armstrong Airport,50.29029846191406,-88.90969848632812
Mont Joli Airport,48.60860061645508,-68.20809936523438
Toronto Pearson International Airport,43.675935,-79.629421
Gore Bay Manitoulin Airport,45.8853,-82.567802
Yellowknife International Airport,62.462799,-114.440002
Slave Lake Airport,55.292945,-114.777276
Sandspit Airport,53.25429916379999,-131.813995361
Chris Hadfield Airport,42.999401,-82.308899
Coral Harbour Airport,64.1932983398,-83.3593978882
Port Hardy Airport,50.680599212646484,-127.36699676513672
Whitecourt Airport,54.143902,-115.787003
Sept-Îles Airport,50.22330093383789,-66.2656021118164
Teslin Airport,60.17279815673828,-132.7429962158203
CFB Greenwood,44.98440170288086,-64.91690063476562
Mackenzie Airport,55.297786,-123.133907
Kostomlaty Airstrip,50.20843,14.92585
Shuswap Regional Airport,50.682802,-119.228996
Boundary Bay Airport,49.074338,-123.006877
Bathurst Airport,47.6297,-65.738899
Bromont (Roland Désourdy) Airport,45.290798,-72.741402
Kelsey Airport,56.0374984741,-96.50969696039999
Faro Airport,62.20750045776367,-133.37600708007812
Grand Forks Airport,49.015598,-118.431
Jenpeg Airport,54.51890182495117,-98.04609680175781
Swan River Airport,52.120602,-101.236
Thicket Portage Airport,55.31890106201172,-97.70780181884766
Pikwitonei Airport,55.58890151977539,-97.16419982910156
Masset Airport,54.0275,-132.125
Pincher Creek Airport,49.520429,-113.997002
Sandy Lake Airport,53.06420135498047,-93.34439849853516
Stewart Airport,55.935410448,-129.982434511
Ignace Municipal Airport,49.428204,-91.720418
Blida Airport,36.503601,2.81417
Bou Saada Airport,35.3325,4.20639
Soummam–Abane Ramdane Airport,36.712547,5.069909
Houari Boumediene Airport,36.693886,3.214531
Tiska Djanet Airport,24.285448,9.463652
Boufarik Air Base,36.545799,2.87611
Illizi Takhamalt Airport,26.723499,8.62265
Ain Arnat Airport,36.178488,5.329909
Aguenar – Hadj Bey Akhamok Airport,22.810992,5.450832
Jijel Ferhat Abbas Airport,36.794125,5.873652
Mecheria Airport,33.535900116,-0.242353007197
Relizane Airport,35.752955,0.625877
Annaba Rabah Bitat Airport,36.826781,7.81334
Mohamed Boudiaf International Airport,36.276001,6.62039
Cheikh Larbi Tébessi Airport,35.4315986633,8.12071990967
Batna Mostefa Ben Boulaid Airport,35.752102,6.30859
Hassi R'Mel Airport,32.930401,3.31154
Abdelhafid Boussouf Bou Chekif Airport,35.341099,1.46315
Tindouf Airport,27.7003993988,-8.167099952700001
Chlef Aboubakr Belkaid International Airport,36.216614,1.341114
Oran Tafraoui Airport,35.5424,-0.532278
Zenata – Messali El Hadj Airport,35.012732,-1.457117
Oran Es-Sénia (Ahmed Ben Bella) International Airport,35.620648,-0.622486
Béchar Boudghene Ben Ali Lotfi Airport,31.645700454711914,-2.269860029220581
Ghriss Airport,35.207699,0.147142
Touat-Cheikh Sidi Mohamed Belkebir Airport,27.837601,-0.186414
Biskra - Mohamed Khider Airport,34.79318,5.738899
El Golea Airport,30.580732,2.861595
Noumérat - Moufdi Zakaria Airport,32.384102,3.79411
Hassi Messaoud-Oued Irara Krim Belkacem Airport,31.673,6.14044
In Salah Airport,27.250999,2.51202
Touggourt Sidi Madhi Airport,33.067799,6.08867
Laghouat - Molay Ahmed Medeghri Airport,33.7644,2.92834
Guemar Airport - مطار قمار بالوادي,33.511398,6.77679
Timimoun Airport,29.237101,0.276033
Ain Beida Airport,31.9172,5.41278
Zarzaitine - In Aménas Airport,28.0515,9.64291
Cotonou Cadjehoun International Airport,6.35723,2.38435
Ouagadougou Thomas Sankara International Airport,12.3532,-1.51242
Bobo Dioulasso Airport,11.1601,-4.33097
Kotoka International Airport,5.605189800262451,-0.16678600013256073
Ho Airport,6.579691,0.532547
Yakubu Tali International Airport,9.553909,-0.86606
Prempeh I International Airport,6.71456,-1.59082
Sunyani Airport,7.36183,-2.32876
Takoradi Airport,4.896059989929199,-1.7747600078582764
Félix-Houphouët-Boigny International Airport,5.26139,-3.92629
Bouaké Airport,7.7388,-5.07367
Daloa Airport,6.79281,-6.47319
Korhogo Airport,9.38718,-5.55666
Man Airport,7.27207,-7.58736
San Pedro Airport,4.74672,-6.66082
Yamoussoukro International Airport,6.90317,-5.36558
Umaru Musa Yar'adua Airport,13.0078,7.66045
Nnamdi Azikiwe International Airport,9.00679,7.26317
Akwa Ibom International Airport,4.8725,8.093
Akure Airport,7.246739864349365,5.3010101318359375
Asaba International Airport,6.204167,6.665278
Sir Abubakar Tafawa Balewa Bauchi State International Airport,10.482833,9.744
Benin Airport,6.316979885101318,5.5995001792907715
Bayelsa International Airport,4.95759,6.203327
Margaret Ekpo International Airport,4.976019859313965,8.347200393676758
Akanu Ibiam International Airport,6.473718,7.560463
